date,station,tobs
2016-10-12,USC00519397,80.0
2016-10-12,USC00519523,81.0
2016-10-12,USC00513117,75.0
2016-10-12,USC00516128,78.0
2016-10-12,USC00514830,80.0
2016-10-12,USC00519281,79.0
2016-10-13,USC00517948,80.0
2016-10-13,USC00513117,78.0
2016-10-13,USC00516128,75.0
2016-10-13,USC00514830,81.0
2016-10-13,USC00519281,78.0
2016-10-13,USC00519523,79.0
2016-10-13,USC00519397,79.0
2016-10-14,USC00514830,79.0
2016-10-14,USC00519523,80.0
2016-10-14,USC00519281,79.0
2016-10-14,USC00516128,73.0
2016-10-14,USC00519397,80.0
2016-10-14,USC00513117,77.0
2016-10-15,USC00516128,74.0
2016-10-15,USC00519397,79.0
2016-10-15,USC00514830,81.0
2016-10-15,USC00513117,76.0
2016-10-15,USC00519523,79.0
2016-10-15,USC00519281,77.0
2016-10-16,USC00519523,81.0
2016-10-16,USC00516128,77.0
2016-10-16,USC00519281,79.0
2016-10-16,USC00519397,78.0
2016-10-16,USC00513117,75.0
2016-10-17,USC00513117,77.0
2016-10-17,USC00517948,80.0
2016-10-17,USC00519281,77.0
2016-10-17,USC00514830,78.0
2016-10-17,USC00516128,70.0
2016-10-17,USC00519523,80.0
2016-10-17,USC00519397,78.0
2016-10-18,USC00517948,80.0
2016-10-18,USC00519523,80.0
2016-10-18,USC00519397,80.0
2016-10-18,USC00513117,77.0
2016-10-18,USC00514830,80.0
2016-10-18,USC00516128,74.0
2016-10-18,USC00519281,78.0
2016-10-19,USC00516128,70.0
2016-10-19,USC00514830,79.0
2016-10-19,USC00519523,78.0
2016-10-19,USC00513117,77.0
2016-10-19,USC00517948,80.0
2016-10-19,USC00519397,81.0
2016-10-19,USC00519281,78.0
2016-10-20,USC00514830,77.0
2016-10-20,USC00516128,73.0
2016-10-20,USC00513117,76.0
2016-10-20,USC00517948,78.0
2016-10-20,USC00519397,79.0
2016-10-20,USC00519281,78.0
2016-10-21,USC00514830,78.0
2016-10-21,USC00517948,76.0
2016-10-21,USC00513117,76.0
